enunciado;op_a;op_b;op_c;op_d;correta;materia
Qual é a idade mínima para se candidatar ao cargo de Presidente da República?;21 anos;30 anos;35 anos;18 anos;C;Direito Constitucional
O 'corpo' de um e-mail é onde se escreve:;O destinatário;O assunto;A mensagem principal;O anexo;C;Informática
A média aritmética entre os números 10, 20 e 30 é:;20;25;15;60;A;Matemática
A investidura em cargo público ocorre com a:;Nomeação;Posse;Exercício;Publicação do edital;B;Direito Administrativo
Indique o sinônimo de 'Indigente':;Rico;Pobre;Inteligente;Rápido;B;Português
São direitos sociais previstos na Constituição, EXCETO:;Educação;Saúde;Moradia;Direito à herança;D;Direito Constitucional
Qual comando do teclado fecha a janela atual no Windows?;Alt + F4;Ctrl + F4;Shift + F4;Windows + L;A;Informática
Quanto é 25% de 200?;25;50;75;100;B;Matemática
O servidor público estável só perderá o cargo em virtude de:;Vontade do chefe;Sentença judicial transitada em julgado;Corte de gastos;Fim do mandato;B;Direito Administrativo
A palavra 'mesa' é um substantivo:;Próprio;Abstrato;Comum;Coletivo;C;Português
No Direito Penal, não há crime sem lei anterior que o defina. Este é o princípio da:;Intervenção mínima;Legalidade;Insignificância;Culpabilidade;B;Direito Penal
Qual atalho é usado para 'Desfazer' a última ação no Windows?;Ctrl + Z;Ctrl + Y;Ctrl + X;Ctrl + V;A;Informática
Se todo A é B, e todo B é C, então:;Todo C é A;Todo A é C;Algum C não é B;Nenhum A é C;B;Raciocínio Lógico
A união de dois ou mais Estados-membros para formar um novo Estado é chamada de:;Fusão;Cisão;Incorporação;Subdivisão;A;Direito Constitucional
Assinale a alternativa que apresenta um advérbio de modo:;Ontem;Aqui;Rapidamente;Muito;C;Português
O 'Phishing' é uma técnica de:;Aceleração de download;Fraude para obter dados;Limpeza de disco;Edição de imagens;B;Informática
Em uma progressão aritmética (2, 5, 8...), qual é o próximo termo?;10;11;12;13;B;Matemática
O flagrante delito permite a entrada em domicílio sem mandado judicial:;Apenas durante o dia;Apenas durante a noite;A qualquer hora do dia ou da noite;Nunca;C;Direito Processual Penal
O plural de 'Cidadão' é:;Cidadões;Cidadãos;Cidadães;Cidadãoses;B;Português
Qual memória é volátil e perde os dados quando o computador é desligado?;ROM;HD;SSD;RAM;D;Informática
A negação da proposição 'Eu estudo e passo' é:;Eu não estudo e não passo;Eu não estudo ou não passo;Eu estudo ou passo;Se eu não estudar, não passo;B;Raciocínio Lógico
Quem sanciona ou veta um projeto de lei federal?;O Presidente da República;O Presidente do Senado;O STF;O Congresso Nacional;A;Direito Constitucional
O 'habeas corpus' serve para proteger a liberdade de:;Expressão;Locomoção;Religião;Pensamento;B;Direito Constitucional
A função 'PROCV' no Excel serve para:;Somar valores;Contar células;Pesquisar em uma tabela;Criar gráficos;C;Informática
Um ângulo de 90 graus é chamado de:;Agudo;Obtuso;Raso;Reto;D;Matemática
No Direito Administrativo, o poder de punir internamente os servidores é o:;Poder Hierárquico;Poder Disciplinar;Poder de Polícia;Poder Regulamentar;B;Direito Administrativo
A crase é obrigatória em:;Fui a pé;Fui a escola;Fui a casa;Fui a ele;B;Português
O crime de 'Peculato' é cometido por:;Qualquer pessoa;Apenas menores de idade;Funcionário público contra a administração;Apenas estrangeiros;C;Direito Penal
Qual o valor de 5! (5 fatorial)?;10;25;120;60;C;Matemática
Qual a figura de linguagem na frase 'O jardim olhava as flores'?;Metáfora;Personificação;Hipérbole;Ironia;B;Português
O Windows 10 é um exemplo de:;Hardware;Firmware;Sistema Operacional;Navegador;C;Informática
Na frase 'Fui à feira', o sinal de crase é:;Proibido;Obrigatório;Facultativo;Indiferente;B;Português
Um quadrado tem lado 5. Qual sua área?;10;20;25;30;C;Matemática
O direito de greve do servidor público civil é:;Vedado;Garantido por lei complementar;Livre;Inconstitucional;B;Direito Administrativo
Qual a negação de 'Todo concurseiro estuda'?;Nenhum concurseiro estuda;Algum concurseiro não estuda;Todo concurseiro não estuda;Ninguém estuda;B;Raciocínio Lógico
O crime de roubo envolve:;Apenas furto;Subtração com violência ou ameaça;Apenas ameaça;Dano ao patrimônio;B;Direito Penal
A capital do Brasil é:;Rio de Janeiro;São Paulo;Brasília;Salvador;C;Geografia
Onde fica o botão 'Iniciar' padrão no Windows?;Canto superior;Canto inferior direito;Canto inferior esquerdo;No centro;C;Informática
Qual o plural de 'Pão'?;Pãos;Pães;Pãeses;Pãoes;B;Português
O que é o STF?;Supremo Tribunal Federal;Superior Tribunal Federal;Suprema Tribunal Federal;Super Tribunal Federal;A;Direito Constitucional
Qual o valor de 7 x 8?;54;56;58;60;B;Matemática
Quem descobriu o Brasil?;Pedro Álvares Cabral;Cristóvão Colombo;Dom Pedro I;Vasco da Gama;A;História
Qual o coletivo de 'Peixes'?;Enxame;Cardume;Alcateia;Manada;B;Português
O que significa a sigla 'URL'?;Uniform Resource Locator;Universal Resource Link;Unit Resource Link;User Resource Locator;A;Informática
A Constituição Brasileira atual é de:;1967;1988;1946;1891;B;Direito Constitucional
Se x + 5 = 12, quanto é x?;5;7;8;10;B;Matemática
Qual é a principal função do Poder Judiciário?;Criar leis;Executar leis;Julgar conflitos;Administrar o país;C;Direito Constitucional
A palavra 'rápido' é um:;Substantivo;Verbo;Adjetivo;Pronome;C;Português
Qual desses é um navegador de internet?;Word;Excel;Google Chrome;PowerPoint;C;Informática
O ato de ignorar a lei por desconhecimento:;Exclui o crime;É permitido;Não escusa ninguém;É facultativo;C;Direito Penal
Qual a metade de 1/2?;1;1/4;2;1/8;B;Matemática
A primeira página de um site chama-se:;End-page;Home-page;First-page;Main-page;B;Informática
Quem é o autor de 'Dom Casmurro'?;Monteiro Lobato;Machado de Assis;Clarice Lispector;Jorge Amado;B;Português
O prazo para recurso administrativo costuma ser de:;5 dias;10 dias;15 dias;30 dias;B;Direito Administrativo
Qual o maior planeta do sistema solar?;Terra;Marte;Júpiter;Saturno;C;Geografia
Quantos bits tem 1 Byte?;4;8;16;32;B;Informática
Qual o antônimo de 'Alto'?;Grande;Baixo;Largo;Longo;B;Português
O voto no Brasil é:;Facultativo para todos;Obrigatório a partir dos 16;Obrigatório dos 18 aos 70;Proibido para militares;C;Direito Constitucional
Quanto é 10% de 500?;5;10;50;100;C;Matemática
A função de 'Salvar como' serve para:;Apagar o arquivo;Renomear ou mudar local;Imprimir;Fechar;B;Informática
Qual é o sujeito da frase 'Choveu muito'?;Eu;Ele;Inexistente;O tempo;C;Português
O princípio da Legalidade diz que:;Pode-se fazer tudo;Só se faz o que a lei permite;A lei é opcional;A lei não vale para todos;B;Direito Administrativo
Quanto é 3 ao quadrado?;6;9;12;15;B;Matemática
O que é um 'Hardware'?;Parte física do PC;Parte lógica do PC;Um vírus;Um site;A;Informática
Qual o maior estado brasileiro em área?;São Paulo;Minas Gerais;Amazonas;Bahia;C;Geografia
A palavra 'casa' é:;Dissílaba;Trissílaba;Monossílaba;Polissílaba;A;Português
Quem é o Vice-Presidente?;O chefe do Senado;O sucessor do Presidente;O chefe da Câmara;O chefe do STF;B;Direito Constitucional
Qual o valor de 100 dividido por 4?;20;25;30;40;B;Matemática
O que significa PDF?;Portable Document Format;Public Data File;Personal Data Form;Private Document File;A;Informática
O servidor que comete erro grave sofre:;Elogio;Advertência;Demissão;Promoção;C;Direito Administrativo
Qual o feminino de 'Poeta'?;Poeto;Poetisa;Poeta;Poetana;B;Português
A primeira capital do Brasil foi:;Rio de Janeiro;Brasília;Salvador;Recife;C;História
Onde se localiza o coração?;Abdômen;Tórax;Pescoço;Cabeça;B;Ciências
Quanto é 15 + 15?;25;30;35;40;B;Matemática
O Windows é um software:;Livre;Proprietário;Gratuito;Hardware;B;Informática
O crime de 'Homicídio' é:;Contra o patrimônio;Contra a pessoa;Contra a honra;Contra a paz;B;Direito Penal
Qual o plural de 'Cidadão'?;Cidadões;Cidadãos;Cidadães;Cidadãoses;B;Português
A Lua é um:;Planeta;Estrela;Satélite;Cometa;C;Ciências
O que é o 'IP' na internet?;Protocolo de Internet;Identidade Pessoal;Identificador Padrão;Internet Power;A;Informática
Qual a meta do concurseiro?;Estudar pouco;Passar;Não fazer nada;Dormir;B;Raciocínio Lógico
Quanto é 2 + 2 x 2?;8;6;4;10;B;Matemática
O que é o 'CPU'?;Monitor;Teclado;Processador;Mouse;C;Informática
Qual o sinônimo de 'Alegre'?;Triste;Contente;Raivoso;Calmo;B;Português
A maior floresta do mundo é:;Mata Atlântica;Amazônica;Savana;Taiga;B;Geografia
O que é 'Democracia'?;Poder de um;Poder de poucos;Poder do povo;Sem poder;C;Direito Constitucional
Quanto é 50 - 25?;15;20;25;30;C;Matemática
O 'Enter' serve para:;Confirmar/Pular linha;Apagar;Espaço;Sair;A;Informática
Qual a cor do cavalo branco de Napoleão?;Preto;Marrom;Branco;Cinza;C;História
O que é um 'Verbo'?;Nome;Ação;Qualidade;Pessoa;B;Português
O Presidente pode ser reeleito?;Não;Uma única vez;Sempre;Três vezes;B;Direito Constitucional
O que é o 'Mouse'?;Dispositivo de saída;Dispositivo de entrada;Processador;Memória;B;Informática
Quanto é 12 x 3?;30;32;36;40;C;Matemática
Onde nasce o Sol?;Norte;Sul;Leste;Oeste;C;Geografia
Qual o aumentativo de 'Casa'?;Casinha;Casarão;Casebre;Casulo;B;Português
O que é o 'HTML'?;Linguagem de sites;Um vírus;Um hardware;Um navegador;A;Informática
O crime de 'Calúnia' é contra a:;Vida;Honra;Liberdade;Saúde;B;Direito Penal
Quanto é 1000 - 1?;999;990;900;998;A;Matemática
O que é 'E-mail'?;Carta física;Correio eletrônico;Site de busca;Rede social;B;Informática
Qual o coletivo de 'Lobos'?;Cardume;Alcateia;Enxame;Manada;B;Português
O que é 'Inflação'?;Queda de preços;Aumento de preços;Estabilidade;Falta de dinheiro;B;Economia
Quantos estados tem o Brasil?;20;24;26;27;C;Geografia
Quanto é 9 x 9?;72;81;90;99;B;Matemática
O que é o 'Wi-Fi'?;Cabo de rede;Conexão sem fio;Processador;Monitor;B;Informática
Quem é o pai da aviação?;Santos Dumont;Irmãos Wright;Einstein;Newton;A;História
Qual o prefixo de 'Infeliz'?;In;Feliz;Z;Infel;A;Português
O que é o 'Ministério Público'?;Defende o governo;Fiscal da lei;Julga crimes;Faz leis;B;Direito Administrativo
Quanto é 4 x 4?;8;12;16;20;C;Matemática
O que é o 'USB'?;Tipo de conexão;Tipo de tela;Tipo de som;Tipo de mouse;A;Informática
Qual o oceano que banha o Brasil?;Pacífico;Índico;Atlântico;Ártico;C;Geografia
O que é um 'Substantivo'?;Ação;Nome;Qualidade;Lugar;B;Português
O crime de 'Furto' é:;Com violência;Sem violência;Apenas contra bancos;Um erro;B;Direito Penal
Quanto é 7 + 7?;12;14;16;18;B;Matemática
O que é 'Software'?;Parte física;Programas do PC;Monitor;Impressora;B;Informática
Quem descobriu a gravidade?;Darwin;Newton;Galileu;Curie;B;Ciências
Qual a sílaba tônica de 'Café'?;Ca;Fé;Nenhuma;As duas;B;Português
O que é o 'Poder Legislativo'?;Cria leis;Julga leis;Executa leis;Ignora leis;A;Direito Constitucional
Quanto é 8 x 3?;20;22;24;26;C;Matemática
O que é um 'Vírus' de PC?;Inseto;Programa malicioso;Peça quebrada;Um cabo;B;Informática
O Rio Amazonas fica em qual continente?;África;Europa;América do Sul;Ásia;C;Geografia
O que é 'Adjetivo'?;Nome;Ação;Qualidade;Número;C;Português
O que é 'Licitação'?;Compra direta;Processo de compra pública;Venda ilegal;Um imposto;B;Direito Administrativo
Quanto é 10 + 20?;25;30;35;40;B;Matemática
O que é o 'SSD'?;Memória lenta;Armazenamento rápido;Um monitor;Um teclado;B;Informática
O Brasil é um país:;Monárquico;Republicano;Ditatorial;Anárquico;B;Direito Constitucional
Qual o ponto final de uma frase?;?;!;.;,;C;Português
O que é 'Backup'?;Cópia de segurança;Excluir tudo;Um vírus;Um jogo;A;Informática
Quanto é 5 x 5?;20;25;30;35;B;Matemática
Quem foi o primeiro presidente do Brasil?;Deodoro da Fonseca;Getúlio Vargas;Sarney;Lula;A;História
